node_number,time,schedule_id
1,5:20 ,9
2,5:20 ,9
3,5:21 ,9
4,5:22 ,9
5,5:24 ,9
6,5:25 ,9
7,5:26 ,9
8,5:27 ,9
9,5:29 ,9
10,5:31 ,9
11,5:32 ,9
12,5:35 ,9
13,5:36 ,9
14,5:37 ,9
15,5:40 ,9
16,5:42 ,9
17,5:43 ,9
18,5:46 ,9
19,5:50 ,9
20,5:53 ,9
21,5:55 ,9
22,5:57 ,9
23,5:57 ,9
24,6:00 ,9
25,6:01 ,9
26,6:02 ,9
27,6:04 ,9
28,6:05 ,9
29,6:09 ,9
30,6:10 ,9
31,6:12 ,9
32,6:18 ,9
33,6:24 ,9
34,6:28 ,9
35,6:30 ,9
36,6:31 ,9
37,6:34 ,9
38,6:35 ,9
39,6:37 ,9
40,6:39 ,9
41,6:42 ,9
42,6:46 ,9
43,6:48 ,9
44,6:51 ,9
45,6:53 ,9
46,6:57 ,9
47,6:59 ,9
48,7:01 ,9
49,7:03 ,9
50,7:05 ,9
51,7:07 ,9
52,7:10 ,9
53,7:11 ,9
54,7:12 ,9
55,7:12 ,9
56,7:13 ,9
57,7:15 ,9
58,7:17 ,9
59,7:18 ,9
60,7:19 ,9
61,7:20 ,9
62,7:22 ,9
63,7:23 ,9
64,7:25 ,9
65,7:27 ,9
66,7:29 ,9
67,7:30 ,9
68,7:32 ,9
69,7:33 ,9
70,7:34 ,9
71,7:36 ,9
72,7:38 ,9
73,7:39 ,9
74,7:40 ,9
75,7:42 ,9
76,7:44 ,9
77,7:45 ,9
78,7:47 ,9
79,7:49 ,9
80,7:51 ,9
81,7:53 ,9
82,7:56 ,9
83,7:57 ,9
