route_stop_number,stop_name
1,Anand Vihar ISBT Terminal
2,Maharaj Pur Check Post
3,Gazipur Depot
4,Hasanpur Village
5,Hasanpur Depot
6,Ashirwad Apartment
7,Mithla Apartment Chandar Vihar
8,Prince Apartment
9,Neethi Apartment
10,Himalaya Apartment
11,Balco Apartment
12,Vijaya Laxmi Apartment
13,Parivar Apartment
14,Ras Vihar Apartment (PS Madhu Vihar)
15,Saraswati Kunj
16,Press Apartment
17,Govt Model School / Ambedkar Park
18,Dharma Apartment
19,Mother Dairy Crossing
20,Samaspur Jagir Village
21,Pusta Crossing / Akshardham Temple
22,CWG Village / PWD Office
23,Nizamuddin Road Bridge
24,ISBT Sarai Kale Khan
25,Bala Sahib Gurudwara
26,Maharani Bagh / Ashram
27,Taimur Nagar
28,Bharat Nagar
29,Bharat Nagar Crossing
30,Holy Family Hospital
31,Sukhdev Vihar
32,NSIC
33,Kalkaji Mandir
34,Nehru Place
35,Pamposh Enclave
36,OS Communication / Masjid Moth
37,Chirag Delhi
38,Sheikh Sarai Phase II
39,Sheikh Sarai More
40,Vocational College
41,PSRI
42,Khirki Village
43,Hauz Rani
44,Hauj Rani / MaxHospital
45,Press Enclave
46,Saket A block (Malviya Nagar Metro Station)
47,PNB Geetanjali
48,PTS
49,DDA Flats Lado Sarai
50,T.B. Hospital
51,Qutub Minar
52,Mehrauli Terminal
