route_stop_number,stop_name
1,Ambedkar Nagar Terminal
2,Pushp Vihar
3,Pushpa Bhawan
4,Sheikh Sarai Phase II
5,Chirag Delhi
6,Krishi Vihar
7,Siri Fort Road
8,Central School
9,MCKR Hospital/Central School
10,Andrews Ganj
11,PT College Kotla
12,Defence Colony
13,Sewa Nagar Flyover
14,J L Nehru Stadium
15,Central School Lodhi Colony
16,Lodhi Colony
17,Lodhi Colony 18-Block
18,Lodhi Colony
19,Max Mueller Marg
20,Prithviraj Road Crossing
21,Claridges Hotel
22,National Museum
23,National Archives
24,Windsor Place
25,Eastern Court
26,Indian Oil Bhawan
27,Shivaji Stadium Terminal
28,Shaheed Bhagat Singh Marg
29,Shaheed Bhagat Singh Marg
30,Gole Market
31,PS Mandir Marg
32,Balmiki Mandir
33,Panchkuian Road Banwai Lal Hospital
34,Meghdoot Bhawan
35,Pusa Road Petrol Pump Sadhu Vaswani Marg
36,Karol Bagh Metro Station
37,Rajendra Place / Karol Bagh Telephone Exchange
38,East Patel Nagar
39,NPL Colony
40,R-Block Rajendra Nagar
41,Janak Vihar
42,Pusa Quarters
43,NASC Dasghara
44,Todapur Village
45,MonitoringandReceiving Station
46,Inderpuri A-Block
47,Inderpuri JJ Colony
48,Inderpuri (Krishi Kunj)
