route_stop_number,stop_name
1,Nizamuddin Railway Station
2,Ashram
3,Nehru Nagar
4,Sri Niwas Puri
5,Lajpat Nagar Crossing
6,Garhi Village
7,B Block East of Kailash
8,C Block East of Kailash
9,Sri Niwas Puri Depot
10,Modi Mills
11,Paras Cinema / Bhairav Temple
12,Nehru Place Terminal
13,Nehru Place
14,Pamposh Enclave
15,OS Communication
16,Sheikh Sarai Phase 2
17,Pushpa Bhawan
18,Pushp Vihar
19,Ambedkar Nagar Terminal
20,Asian Market
21,Saket Crossing
22,Maidan Garhi Crossing
23,Saidulajab
24,Dhaula Peer
25,Lado Sarai
26,Qutub Minar
27,Mehrauli Terminal
